0_to_6_month_mean_count_penalised_1.5x,0_to_6_month_mean_count_penalised_2x,0_to_6_month_mean_count_penalised_3x,0_to_6_month_mean_count_penalised_5x,0_to_9_month_mean,0_to_9_month_median,0_to_9_month_weighted,0_to_9_month_rat_diff_av,0_to_9_month_sd,0_to_9_month_count,0_to_9_month_mean_count_penalised_2x,0_to_1_year_mean,0_to_1_year_median,0_to_1_year_weighted,0_to_1_year_rat_diff_av,0_to_1_year_sd_adj,0_to_1_year_sd_diff,0_to_1_year_count,0_to_1_year_wd_percent,0_to_1_year_mean_count_penalised_1x,0_to_1_year_mean_count_penalised_1.5x,0_to_1_year_mean_count_penalised_2x,0_to_1_year_mean_count_penalised_3x,0_to_1_year_mean_count_penalised_5x,0_to_1_year_mean_count_penalised_10x,0_to_15_month_mean,0_to_15_month_median,0_to_15_month_weighted,0_to_15_month_rat_diff_av,0_to_15_month_sd,0_to_15_month_count,0_to_15_month_mean_count_penalised_2x,0_to_18_month_mean,0_to_18_month_median,0_to_18_month_weighted,0_to_18_month_rat_diff_av,0_to_18_month_sd,0_to_18_month_count,0_to_18_month_mean_count_penalised_2x,0_to_21_month_mean,0_to_21_month_median,0_to_21_month_weighted,0_to_21_month_rat_diff_av,0_to_21_month_sd
73.23831748,73.31546915,73.4697725,73.7783792,73.12902197,73.62126149,73.14156711,-0.125476533,2.377371285,55,73.39870192,73.24614299,73.58590202,73.12254456,0.028044313,2.501824312,2.550272878,65,0.0,73.37017773,73.43219509,73.49421246,73.6182472,73.86631666,74.48649034,73.2903836,73.62126149,73.17200392,0.171244076,2.619841888,85,73.50731406,73.16551026,73.40240596,73.21587777,0.1470002,2.800311849,112,73.3544925,73.02522823,73.17055793,73.17611539,0.022174645,2.738597817
76.82283122,76.93463462,77.15824141,77.60545501,76.67443576,76.11950447,76.48350633,0.854303239,3.254311642,25,77.07443576,76.15151141,75.59620346,76.44343841,0.825515578,3.116877555,3.147386237,32,0.0,76.32828811,76.41667646,76.5050648,76.6818415,77.03539489,77.91927837,76.15151141,75.59620346,76.35882695,0.825515578,3.116877555,32,76.5050648,76.15151141,75.59620346,76.31184543,0.825515578,3.116877555,32,76.5050648,76.15151141,75.59620346,76.28222363,0.825515578,3.116877555
72.95738441,73.05187553,73.24085777,73.61882224,72.40597009,72.78118648,72.66286131,0.026174602,2.945573863,44,72.70748143,72.36784839,72.75007412,72.55624372,-0.08477473,2.770739014,2.828901265,57,0.0,72.50030163,72.56652824,72.63275486,72.7652081,73.03011457,73.69238075,72.55249669,72.84182277,72.5264761,0.035487943,2.602169385,74,72.78499197,72.51806808,72.84182277,72.52037296,-0.02251349,2.679956736,92,72.72658249,72.54510046,72.81229884,72.52018482,-0.046348118,2.75030249
71.43353831,71.5015797,71.63766246,71.90982799,71.4917475,71.69855451,71.44081717,-0.154087937,2.921723835,84,71.70996539,71.49779018,71.69855451,71.46640008,-0.161692221,2.906428563,2.921516664,104,0.009615385,71.59584825,71.64487728,71.69390632,71.79196439,71.98808052,72.47837086,71.61019586,71.84012133,71.48361726,-0.100052748,2.871258411,128,71.78697256,71.61324863,71.78830707,71.51465603,-0.158486515,2.844552117,156,71.77337678,71.59975873,71.59530895,71.54509019,-0.195255501,2.884726278
77.72176676,77.81799181,78.0104419,78.39534208,76.99296057,77.33703525,77.14118546,-0.184489194,3.163568787,42,77.30156727,76.86612418,77.11727276,77.07840095,-0.318414901,2.967064648,2.981021107,50,0.0,77.00754554,77.07825621,77.14896689,77.29038825,77.57323096,78.28033774,77.17240778,77.28251979,77.08778366,0.075180229,3.0920638,73,77.40649007,77.25978626,77.32176781,77.15211188,0.370930825,3.153535137,88,77.47298698,77.10583219,77.27207262,77.14995375,0.325877231,3.186174627
71.61617802,71.69155586,71.84231153,72.14382288,71.54164163,71.60982177,71.36321531,-0.340248554,2.49440233,71,71.77899796,71.76181465,71.99168161,71.5052265,-0.142869175,2.419483779,2.41884798,91,0.0,71.86664314,71.91905738,71.97147162,72.07630011,72.28595707,72.81009949,71.63728866,71.73277124,71.57181713,-0.295790809,2.400851413,106,71.83154583,71.75449336,71.75708415,71.61013752,-0.21695748,2.396760313,130,71.92990496,71.83545183,72.01210257,71.66018953,-0.109726653,2.3715362
75.4918757,75.6036791,75.8272859,76.27449949,75.68216692,75.38547909,75.21876505,-1.404053254,2.838427372,29,76.0535576,76.36239992,75.59197734,75.52279202,-0.88387293,3.185655508,3.150246236,38,0.052631579,76.52462135,76.60573206,76.68684277,76.84906419,77.17350703,77.98461414,76.41011943,75.63760899,75.82320675,-0.836888616,3.017175799,43,76.71511657,76.41011943,75.63760899,75.98313419,-0.836888616,3.017175799,43,76.71511657,76.41011943,75.63760899,76.07456829,-0.836888616,3.017175799
73.21536394,73.28607462,73.42749598,73.71033869,73.23799566,72.74501646,73.03686078,0.091202517,2.458774849,69,73.47876737,73.03218282,72.74501646,73.05815243,-0.149132353,2.719307977,2.745896995,85,0.011764706,73.14064805,73.19488067,73.24911328,73.35757851,73.57450897,74.11683511,72.989178,72.74177341,73.05683732,-0.239261587,2.680090667,104,73.18529414,73.11229702,72.74177341,73.05769285,-0.16022097,2.761856243,122,73.29336851,73.20307207,72.84415195,73.08750262,-0.076203478,2.717729958
74.82781139,74.91114473,75.07781139,75.41114473,74.25609643,74.5628996,74.38650973,0.331001959,2.432756136,50,74.53893914,74.08255502,74.46054151,74.22722818,0.040018961,2.701713004,2.708679312,65,0.015384615,74.20658975,74.26860712,74.33062449,74.45465922,74.70272869,75.32290236,74.08419546,74.46054151,74.18128082,0.06175776,2.696534837,79,74.30921304,74.2191648,74.53109785,74.18549782,0.242609451,2.688772897,98,74.42119531,74.06058182,74.51482294,74.15735959,0.07873132,2.679898714
77.48052149,77.59232488,77.81593168,78.26314528,76.79070414,76.62831092,76.90477108,0.423878516,2.395033275,27,77.17560432,76.47272135,76.564531,76.77218399,0.221324456,2.397415934,2.327752856,33,0.0,76.64679901,76.73383783,76.82087666,76.99495432,77.34310963,78.21349791,76.68752652,76.6713655,76.72035385,0.497894398,2.356666962,37,77.01632449,76.46348097,76.54799405,76.68711473,0.464153936,2.19325991,49,76.74919525,76.20994185,76.43134579,76.58104954,0.25525609,2.483371748
