0_to_10_year_mean,0_to_10_year_rat_diff_av,0_to_10_year_count,0_to_10_year_wd_percent,0_to_10_year_sd_adj,0_to_10_year_sd_diff,0_to_10_year_diff_skew,0_to_10_year_shape,0_to_10_year_scale,0_to_10_year_loc,year_minus_0_mean,year_minus_0_sd,year_minus_0_count,year_minus_0_mean_count_penalised_2x,year_minus_1_mean,year_minus_1_sd,year_minus_1_count,year_minus_1_mean_count_penalised_2x,year_minus_2_mean,year_minus_2_sd,year_minus_2_count,year_minus_2_mean_count_penalised_2x,year_minus_3_mean,year_minus_3_sd,year_minus_3_count,year_minus_3_mean_count_penalised_2x,year_minus_4_mean,year_minus_4_count,year_minus_5_mean,year_minus_5_count,year_minus_6_mean,year_minus_7_mean,year_minus_8_mean,year_minus_9_mean,year_minus_10_mean,4_to_6_month_mean,7_to_9_month_mean,10_to_12_month_mean,13_to_15_month_mean,16_to_18_month_mean,19_to_21_month_mean,22_to_24_month_mean,days_since_median_rd,days_since_first_rd
72.91662212,-0.019553265,817,0.00244798,2.689340453,2.720120634,0.107774998,0.899444503,3.216211469,-1.735641826,73.06430677,2.313761266,63,73.31628309,73.05168966,3.072065442,74,73.28418494,72.64688035,2.460241072,74,72.87937563,72.30931954,2.926658521,66,72.55550252,73.64736677,20,73.75063066,77,73.22503987,73.01685364,72.86148644,72.30575292,73.46936316,72.6033022,73.31311722,75.22402882,73.53458532,72.09865962,72.30804247,74.49859275,2379,6425
74.14136059,0.402325549,229,0.0,2.867668826,2.733941701,0.475607232,2.080056467,3.934252247,-2.426791544,76.15151141,3.116877555,32,76.5050648,,,0,,74.85466449,2.232271178,26,75.24689676,74.30626797,2.360781092,38,74.63071082,73.98050361,16,72.67586454,54,75.02018696,73.55988994,,,,77.04207888,79.61672454,74.44750015,,,,,1910,2820
72.98919958,-0.005947064,725,0.002758621,2.703897567,2.732048284,0.07857393,0.787822079,3.141749964,-1.557238466,72.44993323,2.794660914,54,72.72209875,72.66069802,2.778411354,70,72.89974374,73.06755433,2.672316586,30,73.4327027,73.17621871,2.834925717,27,73.56111889,73.69508264,30,72.87014802,54,73.16803888,74.0667596,73.02549857,72.83037626,73.35885222,73.58958907,71.38591672,72.15112319,73.17161158,72.38626763,72.33037088,71.74447315,3030,6265
72.51718969,-0.112910474,974,0.002053388,2.873890956,2.882610915,-0.03767576,,,,71.49779018,2.906428563,104,71.69390632,71.84577366,2.897017834,83,72.06530218,72.05739187,2.315496011,64,72.30739187,72.53316014,2.671151116,64,72.78316014,72.29145684,47,72.71985526,90,72.5632836,72.43786209,73.28226684,74.07249643,73.6719909,70.6117217,71.55901134,71.93320817,72.1303651,72.14044783,71.18660141,74.87126236,2314,5011
75.78672531,0.478097539,884,0.002262443,3.167841048,3.078299288,0.240073965,1.319471127,3.988591935,-2.058226399,76.90125544,3.053606117,47,77.19298542,77.22590607,3.372559127,50,77.50874879,,,0,,76.83780252,2.468713333,43,77.14279966,75.59043469,24,74.74791727,76,75.46563226,76.2653439,75.04743749,75.21638515,74.52340201,77.8633856,76.18210575,75.89224306,77.72518496,76.83513563,73.28223259,75.90202784,3164,6090
71.92606734,-0.060741884,942,0.0,2.368317772,2.378418654,0.088183624,0.826195633,2.76161962,-1.464190363,71.73366466,2.452683772,88,71.94686538,71.93452685,2.315354392,79,72.15954443,71.9896833,2.282488926,77,72.21760445,71.77897276,2.727038153,83,71.99850128,72.73049293,14,71.83436358,110,71.59354054,71.85719419,72.83977609,71.85606692,73.45111114,71.36491547,72.48763029,72.48108639,70.88183094,71.8925364,72.14477995,71.67397407,2258,4757
73.37510881,-0.269635644,1072,0.002798507,3.444097773,2.841739452,0.179574945,1.13617106,3.548647459,-2.395056936,76.16070061,3.147284873,36,76.49403395,77.69284479,1.910252067,7,78.44877374,,,0,,78.40550907,3.103519746,19,78.86434053,77.6296775,9,74.71685486,16,72.61371724,73.03604789,72.94991396,71.27919951,71.74734041,76.52966728,76.85039229,78.70970403,76.7727877,,,,4295,7378
73.80929904,-0.050443111,389,0.002570694,2.505593006,2.522687649,0.121413527,0.947473516,3.017671964,-1.70645975,73.03218282,2.719307977,85,73.24911328,73.53787124,2.678005963,61,73.793945,73.30032235,2.041991773,74,73.53281763,72.7450506,2.490152251,39,73.06530691,74.83496603,14,74.0193959,22,74.48879313,74.69028115,75.79574244,76.3413028,,73.04954864,74.13030886,72.78630465,72.52306941,73.53874119,73.00947465,75.16879316,914,3598
74.40804051,0.033569799,447,0.008948546,2.726258261,2.75020145,0.138982522,1.006733928,3.336203753,-1.854987181,73.94168861,2.681117027,62,74.19568886,74.07401924,2.6255835,70,74.31306496,74.13141815,2.980714017,56,74.39867939,73.42364084,2.305404722,23,73.84066967,74.01537545,21,74.51926588,69,74.97498302,75.80792681,76.20390453,71.74587117,73.34388715,74.52052396,73.55340247,75.03028769,74.09181178,74.65712354,73.58659359,71.80764084,1580,5843
75.78960583,0.064997994,389,0.0,2.881865508,2.969945856,0.13622643,0.99760102,3.595105452,-1.960885721,76.47272135,2.397415934,33,76.82087666,75.83474877,2.69646686,50,76.11759148,75.89017816,2.537090177,26,76.28241043,79.89518472,2.047179153,9,80.56185139,75.73377419,33,74.8953717,61,75.41431942,75.8635927,75.86737572,77.13716223,,77.03642269,75.49962407,76.28161429,78.45966914,75.77267385,75.69350274,76.36813112,2036,3304
72.91893222,-0.012924403,816,0.00245098,2.69028837,2.721383008,0.105217483,0.890196948,3.21042058,-1.716119878,73.09284504,2.321444152,62,73.3468453,73.05168966,3.072065442,74,73.28418494,72.64688035,2.460241072,74,72.87937563,72.30931954,2.926658521,66,72.55550252,73.64736677,20,73.75063066,77,73.22503987,73.01685364,72.86148644,72.30575292,73.46936316,72.6033022,73.08614978,75.22402882,73.53458532,72.09865962,72.30804247,74.49859275,2378,6424
74.14063236,0.423099678,228,0.0,2.869327683,2.734683176,0.468328135,2.05294743,3.924897175,-2.392273434,76.210999,3.14987954,31,76.57020961,,,0,,74.85466449,2.232271178,26,75.24689676,74.30626797,2.360781092,38,74.63071082,73.98050361,16,72.67586454,54,75.02018696,73.55988994,,,,77.04207888,79.61672454,74.44750015,,,,,1909,2819
72.98025194,-0.029977472,724,0.002762431,2.693142565,2.715076072,0.078828711,0.788864904,3.123054789,-1.573296343,72.35804785,2.737816459,53,72.63276898,72.66069802,2.778411354,70,72.89974374,73.06755433,2.672316586,30,73.4327027,73.17621871,2.834925717,27,73.56111889,73.69508264,30,72.87014802,54,73.16803888,74.0667596,73.02549857,72.83037626,73.35885222,73.58958907,71.5324981,72.15112319,73.17161158,72.38626763,72.63145953,71.74447315,3029,6264
72.51745929,-0.115464458,973,0.002055498,2.891869981,2.899115829,-0.03646937,,,,71.49001059,2.919552692,103,71.68707645,71.84577366,2.897017834,83,72.06530218,72.05739187,2.315496011,64,72.30739187,72.53316014,2.671151116,64,72.78316014,72.29145684,47,72.71985526,90,72.5632836,72.43786209,73.28226684,74.07249643,73.6719909,70.80256505,71.55901134,71.51126317,72.25127948,72.17460701,71.18660141,74.87126236,2314,5010
75.78011814,0.465617844,883,0.002265006,3.164295428,3.08217818,0.243683825,1.330265979,4.001683523,-2.086567237,76.84849651,3.065614086,46,77.14338042,77.22590607,3.372559127,50,77.50874879,,,0,,76.83780252,2.468713333,43,77.14279966,75.59043469,24,74.74791727,76,75.46563226,76.2653439,75.04743749,75.21638515,74.52340201,77.8633856,76.15762496,75.89224306,77.72518496,76.83513563,72.04103482,75.90202784,3167,6089
71.92807383,-0.056545891,941,0.0,2.379253326,2.390544713,0.086338155,0.818970698,2.770676476,-1.457240044,71.75024954,2.461934324,87,71.96467205,71.93452685,2.315354392,79,72.15954443,71.9896833,2.282488926,77,72.21760445,71.77897276,2.727038153,83,71.99850128,72.73049293,14,71.83436358,110,71.59354054,71.85719419,72.83977609,71.85606692,73.45111114,71.26642058,72.48763029,72.48108639,70.88183094,71.90827106,72.14477995,71.67397407,2258,4756
73.37003959,-0.258069709,1071,0.00280112,3.455127289,2.87017129,0.176388435,1.126280642,3.576516168,-2.391982704,76.18496206,3.189815662,35,76.52302376,77.69284479,1.910252067,7,78.44877374,,,0,,78.40550907,3.103519746,19,78.86434053,77.6296775,9,74.71685486,16,72.61371724,73.03604789,72.94991396,71.27919951,71.74734041,76.52966728,76.85039229,78.70970403,76.7727877,,,,4295,7377
73.80801529,-0.055372661,388,0.00257732,2.513426242,2.53004427,0.124860726,0.959309265,3.035045409,-1.731790457,73.01700171,2.732014317,84,73.2352196,73.53787124,2.678005963,61,73.793945,73.30032235,2.041991773,74,73.53281763,72.7450506,2.490152251,39,73.06530691,74.83496603,14,74.0193959,22,74.48879313,74.69028115,75.79574244,76.3413028,,73.1288969,73.48423339,72.78630465,72.52306941,73.13074162,73.00947465,75.16879316,913,3597
72.11384327,0.092809321,1453,0.0,2.653361249,2.686895218,0.089142997,0.82992648,3.122711945,-1.498392735,72.04274144,2.745943593,85,72.2596719,72.44084221,2.65392121,72,72.67654447,72.78422102,2.548305706,64,73.03422102,73.15012512,2.597354252,77,73.37804627,71.69253347,55,71.48010553,90,72.52666293,71.80171409,71.53665358,72.07963015,72.62979226,72.92130929,72.25292901,73.0521981,73.14364082,72.43627343,72.91485036,74.47402866,3312,7726
72.75015559,-0.226851575,251,0.003984064,3.072878365,3.141615305,0.358235551,1.678927601,4.314986038,-3.18478291,72.17416867,2.850812971,97,72.37723791,73.26590447,3.083261654,84,73.48412236,72.79364941,3.221407435,52,73.07099951,73.32160815,3.053860682,18,73.79301267,,0,,0,,,,,,72.39383807,71.14782476,72.01392068,71.56529972,74.34356528,73.49868443,74.15800164,462,1332
73.29134944,-0.103885522,400,0.01,2.85176124,2.901182348,0.50087811,2.177218528,4.212653209,-3.158322956,72.92370547,2.843218376,103,73.12077133,72.81385202,2.877067403,85,73.03078248,73.4105574,3.088630551,75,73.64149751,73.55370567,3.293941859,69,73.79447738,73.66328413,43,74.14165253,16,77.10869031,,79.8353767,,76.56348896,72.30526196,74.25143259,72.08561856,74.63427227,72.42224141,72.92992897,71.62693248,791,4157
72.59898798,-0.171663499,324,0.0,2.405507499,2.436939949,0.267105236,1.400287116,3.204292551,-2.252243811,72.18011125,1.945300247,97,72.38318048,72.84460953,2.844472707,73,73.07869183,71.82033534,2.499089581,64,72.07033534,72.35038736,2.592266139,46,72.64527127,74.32708235,27,74.69346723,13,71.9517502,,,78.28787121,,71.66113914,71.76065222,71.42307873,71.98613447,73.63055937,72.16285694,,624,3499
74.66578994,-0.197197518,344,0.005813953,2.891716232,2.933860832,0.475724491,2.080496218,4.222123338,-3.233442913,74.40234889,2.859974116,96,74.60647303,74.30258837,3.16075978,71,74.5399447,73.7603852,2.320068138,58,74.02299807,75.33560965,3.316159799,38,75.66005249,76.8843045,10,75.3394115,57,75.91981876,,,,,75.46179381,74.55295616,,73.43218008,73.67594578,75.7545615,,805,2335
72.98790567,-0.086221726,324,0.00308642,2.586655643,2.603596275,0.366645554,1.70563781,3.589095878,-2.556625672,72.5421419,2.544419821,80,72.7657487,72.86636118,2.604908319,71,73.10371752,73.18927202,2.483954333,66,73.435455,72.99143773,2.756484862,58,73.2540506,72.69665732,33,74.89863868,10,,74.93664698,79.74021656,,,73.41491963,71.47437699,74.76030475,72.954461,72.5310259,72.91672227,72.63621496,799,2909
74.79831652,-0.272152258,270,0.007407407,2.896965357,2.887028801,0.521418378,2.260073825,4.221918913,-3.352682084,73.64602015,2.37631421,86,73.8616857,73.87167818,2.803819567,61,74.12775194,74.95144921,3.667088356,49,75.2371635,75.18685828,2.981211151,15,75.70325606,77.4001588,36,76.31319585,17,78.6102376,,,,,74.14481276,73.94937499,73.10267669,73.25685097,76.03432629,72.87138245,72.94833576,581,2349
71.48250742,0.175374675,1306,0.0,2.651632375,2.682509949,0.234243854,1.302024435,3.464320135,-2.016805604,72.32057652,2.728812747,89,72.5325761,71.8806189,2.663235016,64,72.1306189,71.68728826,2.299501943,18,72.15869278,72.11271841,2.156889214,72,72.34842067,71.71769636,50,70.73166128,108,71.1831888,71.57857226,71.21013041,71.17802524,70.30139215,72.38051576,72.87356501,71.31121164,71.21204465,71.67471165,71.98155264,,3039,6023
73.54709321,-0.015477026,717,0.0,2.854565588,2.897083789,0.09861354,0.865911844,3.397292756,-1.789879345,73.72353254,2.70767579,72,73.9592348,74.18713739,3.140979742,51,74.4671934,73.46876908,2.73639257,53,73.74349021,73.71931614,2.712117205,54,73.99148166,74.08327129,20,73.33214692,61,72.48712071,73.60101894,74.0461042,73.3650852,73.85818925,74.05233141,73.72967498,74.69922236,75.34421119,74.17716121,75.76842678,,2429,4826
72.10241899,0.080078393,635,0.003149606,2.624873632,2.650462007,0.152450325,1.050632914,3.247811138,-1.796974706,72.62935409,2.577899891,92,72.8378685,72.92261482,2.821871525,67,73.16695371,72.3493848,2.921244496,68,72.59192042,72.3835929,2.791919247,89,72.59559248,73.34930902,45,70.79393029,76,70.98800164,72.18307754,72.24076931,,,73.47977798,71.44922217,74.60239949,72.40880627,73.25921781,72.60391476,,1464,5270
72.9640868,-0.119294394,487,0.0,2.60989652,2.651425995,0.091233827,0.838000048,3.087714532,-1.701672738,72.89812569,2.586712753,68,73.14066132,72.73873096,2.563349854,56,73.0059922,72.43230814,2.792468181,84,72.65052603,74.11520618,2.50229595,54,74.38737171,73.61551134,26,72.49533891,60,72.80597627,73.33822264,72.58800379,73.0483886,,72.80517221,74.19021051,74.12040407,,72.45569157,72.36591374,,1302,3447
72.86173143,-0.14604649,393,0.002544529,2.697867801,2.719507199,0.102690019,0.880974039,3.20094011,-1.834329104,72.13724889,3.014813896,79,72.36226647,72.63290948,2.449917265,66,72.87909246,72.4321054,2.667980619,63,72.68408172,72.96324722,2.343976717,64,73.21324722,73.81040398,30,73.23842877,63,73.96021554,75.56893851,75.04107076,75.48334605,73.56268635,72.25228063,71.81762402,,72.50570739,73.12196947,73.23646253,,966,3859
73.15047717,-0.082870686,798,0.001253133,2.594894715,2.620010654,0.109016945,0.903905556,3.101223053,-1.742126121,72.46699148,2.287120442,81,72.6892137,72.59640413,2.945594018,78,72.82285954,72.79093383,2.431915126,84,73.00915172,72.82721149,2.117344429,69,73.06798319,72.77131118,51,72.945083,67,72.9897875,74.44549965,73.51999334,74.30261043,75.37523255,71.97285021,72.1613951,,71.36219312,72.04808624,73.77405427,,2005,6323
74.22081413,-0.097425946,407,0.002457002,2.571210821,2.598299159,0.064539076,0.727786397,2.942823629,-1.479110567,73.61480565,2.52828158,82,73.8356687,72.97494741,2.224426234,61,73.23102117,73.15843774,2.985652777,72,73.39414,74.10085729,2.872435006,57,74.36576376,75.25041366,3,76.32676636,21,76.60121204,74.28999561,76.4325696,76.40517994,,73.68709908,74.16600605,75.44691415,73.18193759,72.70931317,72.57004234,,968,5274
74.17811366,-0.338980123,410,0.002439024,3.386533881,3.356805507,0.154807021,1.058202933,4.120402769,-2.728451981,72.88069915,3.770288317,75,73.11163926,73.22909093,3.043788813,63,73.48106725,74.43518362,3.105036381,61,74.69125738,74.16743928,3.168307608,58,74.43005214,74.93925453,39,75.25805592,85,74.85283919,,75.55010017,76.67262399,72.42691823,73.08940458,74.78142988,70.41711987,74.87824565,73.71373065,72.39148343,,1149,4546
72.70952797,0.074605655,291,0.0,2.696567513,2.717475577,0.002457555,0.226296016,2.760620356,-0.411554024,73.07937937,2.243904221,79,73.30439695,72.55475739,3.130342849,75,72.7856975,72.57253196,2.841141902,80,72.79613876,72.26249259,2.511208345,37,72.59129056,71.61116487,2,71.52592797,6,71.9792146,73.72561622,77.48510303,77.9724161,80.59521459,73.49316079,73.43560307,74.75763086,72.42952904,73.61204095,71.7170976,,625,3853
73.4199216,-0.07465363,697,0.007173601,3.007325088,3.088757444,0.225568603,1.276020468,3.96907569,-2.567270585,72.41953338,3.175593093,63,72.67150969,74.80438781,3.819569379,13,75.359088,72.58099628,2.939288309,76,72.81041202,72.88374013,2.467146541,72,73.11944239,73.07929525,49,73.15243414,64,73.23335225,74.40809661,74.2679981,74.36522498,76.10755267,74.42587634,71.29946088,74.11351642,,,74.3710077,,2283,4392
