adj_score,rd_score,player_name,round_date,year,month,quarter,season_phase,tournament_tier_field_strength,tournament_tier_top50_av,elo_rating_pre_rd,wd_percentage_adj,tour,field_strength,tour_tier,tour_0_to_1_year_count,tour_0_to_1_year_percentage,tour_0_to_1_year_mode,tour_0_to_3_year_count,tour_0_to_3_year_percentage,tour_0_to_3_year_mode,tour_0_to_5_year_count,tour_0_to_5_year_percentage,tour_0_to_5_year_mode,tour_0_to_10_year_count,tour_0_to_10_year_percentage,tour_0_to_10_year_mode,1_tournament_mean,1_tournament_count,1_rd_mean,days_since_1_rd,2_to_4_rd_mean,5_to_12_rd_mean,13_to_28_rd_mean,29_to_60_rd_mean,61_to_120_rd_mean,121_to_240_rd_mean,1_to_20_rd_mean,0_to_20_rd_sd,days_since_20_rd,1_to_20_rd_mean_days_penalty_15x,1_to_50_rd_mean,1_to_50_rd_median,1_to_50_rd_sd,days_since_50_rd
74.30739617,74,mind muangkhumsakul,2024-12-18,2024,12,4,late_season,10,13,1274,0.0025,tlpga,76.21528877,15,31,1.0,tlpga,31,0.543859649,tlpga,31,0.279279279,lpga,31,0.135964912,epson,74.9061941,3,72.17115083,5,77.06981194,77.47721428,76.00001048,74.67051736,73.63850564,73.60231226,76.50359985,3.125603314,194.0,75.42666261,75.69922978,75.5890791,2.828804184,922
77.31985817,77,p.k. kongkraphan,2024-12-18,2024,12,4,late_season,10,13,1277,0.0025,tlpga,76.21528877,15,35,0.625,tlpga,69,0.450980392,tlpga,69,0.328571429,thai,69,0.095303867,thai,75.60846738,3,77.40094437,5,74.93379466,71.43451157,72.3402002,72.47341792,72.71566133,73.15222639,72.1211264,3.022390725,83.0,70.4746625,72.29481522,72.33019514,2.795833204,300
72.29908816,72,pei-yun chien,2024-12-18,2024,12,4,late_season,10,13,1272,0.005890987,tlpga,76.21528877,15,3,0.029126214,lpga,9,0.036,lpga,14,0.038781163,lpga,68,0.069886948,lpga,73.47954339,2,79.901405,40,68.25622283,71.56419914,72.00483371,71.3321688,71.64221835,71.8993779,71.73424286,3.371845758,89.0,70.14424604,71.26401297,71.54992536,3.05526736,178
79.32816618,79,tzu chi lin,2024-12-18,2024,12,4,late_season,10,13,1279,0.0025,tlpga,76.21528877,15,37,0.755102041,tlpga,70,0.729166667,tlpga,111,0.680981595,tlpga,267,0.302378256,tlpga,76.31946702,3,77.40094437,5,76.09152101,77.39659188,77.40247765,77.23744466,76.84765549,75.19278519,77.10040295,2.751198095,91.0,75.52797569,76.87931471,77.11727276,2.979672625,370
70.29078016,70,wei-ling hsu,2024-12-18,2024,12,4,late_season,10,13,1270,0.0025,tlpga,76.21528877,15,10,0.111111111,lpga,23,0.093495935,lpga,32,0.094117647,lpga,53,0.056323061,lpga,72.66051105,2,72.65328417,33,71.81980515,71.38792723,71.43309883,71.76231236,72.0475713,72.03351781,71.6057127,2.147043203,89.0,70.01571588,71.393089,71.42147015,2.264804142,194
75.31155017,75,yani tseng,2024-12-18,2024,12,4,late_season,10,13,1275,0.033935196,tlpga,76.21528877,15,10,0.27027027,lpga,15,0.357142857,lpga,27,0.385714286,lpga,36,0.033613445,lpga,76.77826871,2,75.41051651,6,74.38272775,74.86998038,76.37204673,77.70942685,73.95561166,72.71980689,75.65411164,3.327893002,232.0,74.6693134,76.49346992,75.86012563,2.834911952,1287
74.30739617,74,yu-sang hou,2024-12-18,2024,12,4,late_season,10,13,1274,0.004841415,tlpga,76.21528877,15,8,0.095238095,epson,18,0.082191781,lpga,35,0.128676471,lpga,74,0.190721649,lpga,72.49672385,4,70.91447287,38,73.02414084,72.30869483,73.43789083,73.06495217,72.98951719,73.36816623,72.74954196,2.011127886,90.0,71.16840313,73.06126919,72.79458421,2.382105198,185
76.09330539,74,alena sharp,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,47,0.534090909,lpga,99,0.447963801,lpga,216,0.611898017,lpga,622,0.428079835,lpga,71.79967148,9,72.00361425,1,70.66470408,72.45553382,71.45164535,72.47465567,72.12559548,72.9895796,71.63604717,2.412977524,38.0,69.20272585,72.17411705,72.37342344,2.746459311,190
76.09330539,74,alexandra forsterling,2024-12-15,2024,12,4,late_season,3,4,1254,0.009753177,lpga,72.70786519,2,56,0.577319588,lpga,64,0.274678112,let,64,0.25498008,let,64,0.25498008,let,72.22869619,9,72.00361425,1,71.30043215,72.13878594,74.39916554,71.77898637,71.40188566,73.4207304,73.51163525,3.448454233,86.0,71.89414365,72.81122706,72.31328198,3.05527617,184
74.03672957,72,alice hewson,2024-12-15,2024,12,4,late_season,3,4,1269,0.006428403,lpga,72.70786519,2,6,0.058252427,let,19,0.072243346,let,29,0.077333333,let,29,0.0725,let,73.39539192,9,70.96008361,1,73.74453001,73.76572966,72.20299372,73.00637171,73.1389018,73.10574709,72.99282958,3.47031444,,,72.95523618,71.90517664,2.980120367,177
74.03672957,72,amanda doherty,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,29,0.298969072,epson,143,0.611111111,lpga,143,0.465798046,lpga,143,0.441358025,lpga,72.22777735,9,70.96008361,1,71.99092262,72.13755318,72.53402536,72.04998064,72.65476902,72.14374951,71.93805087,1.155395434,36.0,69.43805087,72.35961805,71.59558823,1.697253947,143
71.98015375,70,amy lee,2024-12-15,2024,12,4,late_season,3,4,1274,0.004705403,lpga,72.70786519,2,4,0.041666667,epson,4,0.017777778,epson,4,0.014652015,epson,4,0.011627907,epson,73.81888492,9,73.04714489,1,74.01229297,73.31301559,75.3399618,74.4335582,74.29262254,74.35432686,74.40384721,2.272665571,64.0,72.52884721,74.01265962,73.82324379,2.827121356,156
69.92357793,68,ana belac,2024-12-15,2024,12,4,late_season,3,4,1272,0.003304034,lpga,72.70786519,2,8,0.094117647,epson,79,0.3640553,lpga,125,0.405844156,lpga,125,0.385802469,lpga,72.46070508,9,73.04714489,1,72.32412883,72.14468725,72.95104111,72.16255914,72.78697542,73.03394066,72.86065298,1.860876006,91.0,71.28822572,72.70713618,73.32279434,2.180385405,211
74.03672957,72,april angurasaranee,2024-12-15,2024,12,4,late_season,3,4,1273,0.004057067,lpga,72.70786519,2,4,0.046511628,let,4,0.020408163,let,4,0.016194332,let,4,0.014814815,let,73.16458678,9,72.00361425,1,73.04802002,73.6303161,73.21805049,73.96086216,74.10841011,75.40501423,73.09921797,2.21199549,61.0,71.17866478,73.63890303,73.48159078,2.419672793,204
68.89529002,67,azahara munoz,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,71,0.797752809,lpga,139,0.812865497,lpga,247,0.843003413,lpga,682,0.522205207,lpga,71.87666371,9,72.00361425,1,71.96820275,71.2495782,72.49109018,72.67976167,71.95439467,72.05392012,71.86510559,2.414427938,38.0,69.43178427,72.0802946,72.23834567,2.707689744,190
75.06501748,73,brianna do,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,10,0.133333333,epson,61,0.346590909,lpga,106,0.424,lpga,289,0.40306834,lpga,73.70671053,9,74.09067553,1,72.98393496,73.46322062,74.10477029,74.02763393,74.20266842,73.64059934,73.56889668,2.656731704,71.0,71.78872419,73.53364388,73.34231599,2.760095984,220
70.95186584,69,bronte law,2024-12-15,2024,12,4,late_season,3,4,1280,0.003178397,lpga,72.70786519,2,12,0.130434783,let,102,0.449339207,let,204,0.565096953,let,399,0.628346457,let,72.81294541,9,70.96008361,1,73.37986805,72.46813906,73.22175436,72.70103476,72.60811687,72.3585246,72.76211556,2.309701388,,,72.90689969,73.2672959,2.342945185,197
75.06501748,73,daniela darquea,2024-12-15,2024,12,4,late_season,3,4,1273,0.0025,lpga,72.70786519,2,44,0.647058824,lpga,124,0.596153846,lpga,195,0.677083333,lpga,303,0.622176591,lpga,72.34284486,9,69.91655297,1,72.33947101,72.13522137,73.03285677,73.36887985,72.73686719,72.97794296,72.6453059,1.949339354,87.0,71.0371371,72.74768412,72.5541419,2.506907732,261
69.92357793,68,dewi weber,2024-12-15,2024,12,4,late_season,3,4,1274,0.0025,lpga,72.70786519,2,25,0.316455696,epson,125,0.600961538,lpga,125,0.413907285,lpga,125,0.318066158,lpga,71.28837135,9,68.87302232,1,71.96625779,70.7916783,72.94013112,72.34608663,72.32833119,72.62150943,71.6931994,3.352446324,38.0,69.25987808,72.27936774,72.13515963,3.206410641,190
71.98015375,70,dottie ardina,2024-12-15,2024,12,4,late_season,3,4,1270,0.0025,lpga,72.70786519,2,36,0.444444444,lpga,105,0.432098765,lpga,169,0.465564738,lpga,254,0.318295739,lpga,72.68401005,9,70.96008361,1,73.01461931,72.43190763,73.4441768,72.11333574,72.42026323,72.79621383,73.10694317,1.76371786,71.0,71.32677069,72.55776794,72.56166362,2.434679827,178
77.1215933,75,gabriella then,2024-12-15,2024,12,4,late_season,3,4,1256,0.004643335,lpga,72.70786519,2,18,0.219512195,epson,72,0.327272727,epson,72,0.261818182,epson,72,0.176904177,epson,74.19101052,9,75.13420617,1,73.01792245,74.21961052,73.21304368,73.53965354,73.30183084,73.40739545,73.77736858,2.643193764,73.0,72.02175137,73.62283224,73.43183721,2.46095687,177
73.00844166,71,gigi stoll,2024-12-15,2024,12,4,late_season,3,4,1282,0.005157293,lpga,72.70786519,2,30,0.4,lpga,38,0.190954774,epson,41,0.137123746,epson,45,0.109756098,epson,70.07613654,9,69.91655297,1,69.29032943,69.9384269,74.27471251,73.62776496,73.46127031,74.31217149,71.10975616,4.311840891,79.0,69.4221243,72.52118151,73.34680959,3.85022077,212
73.00844166,71,gina kim,2024-12-15,2024,12,4,late_season,3,4,1269,0.0025,lpga,72.70786519,2,51,0.64556962,lpga,146,0.623931624,lpga,148,0.542124542,lpga,156,0.536082474,lpga,72.79445298,9,72.00361425,1,72.66005141,72.57814842,72.668533,73.38528663,72.84112438,72.58727489,72.50698926,1.654433714,59.0,70.5541556,72.8963758,72.49143819,2.0613016220000002,212
73.00844166,71,isi gabsa,2024-12-15,2024,12,4,late_season,3,4,1265,0.024363178,lpga,72.70786519,2,31,0.492063492,lpga,94,0.618421053,lpga,119,0.435897436,lpga,173,0.2482066,lpga,72.59176295,9,73.04714489,1,72.01635886,73.33837599,72.48042066,73.02872764,72.93248614,72.80061487,72.51990038,3.888320875,156.0,71.31893923,72.39393658,73.06578309,3.230592002,268
