1_to_50_rd_mean_days_penalty_5x,1_to_50_rd_mean_days_penalty_10x,1_to_50_rd_mean_days_penalty_15x,1_to_50_rd_mean_days_penalty_20x,1_to_50_rd_mean_days_penalty_30x,1_to_100_rd_mean,1_to_100_rd_median,1_to_100_rd_sd,days_since_100_rd,1_to_100_rd_mean_days_penalty_15x,1_to_200_rd_mean,1_to_200_rd_median,1_to_200_rd_sd,days_since_200_rd,1_to_200_rd_mean_days_penalty_15x,1_to_500_rd_mean,1_to_500_rd_median,1_to_500_rd_sd,days_since_500_rd,1_to_500_rd_mean_days_penalty_15x,0_to_4Week_mean,0_to_4_week_rat_diff_av,0_to_4_week_sd,0_to_4Week_count,0_to_3_month_mean,0_to_3_month_median,0_to_3_month_weighted,0_to_3_month_rat_diff_av,0_to_3_month_sd,0_to_3_month_count,0_to_3_month_wd_percent,0_to_3_month_mean_count_penalised_1x,0_to_3_month_mean_count_penalised_1.5x,0_to_3_month_mean_count_penalised_2x,0_to_3_month_mean_count_penalised_3x,0_to_3_month_mean_count_penalised_5x,0_to_3_month_mean_count_penalised_10x,0_to_6_month_mean,0_to_6_month_median,0_to_6_month_weighted,0_to_6_month_rat_diff_av,0_to_6_month_sd,0_to_6_month_count,0_to_6_month_wd_percent,0_to_6_month_mean_count_penalised_1x
76.60441222,76.34270026,76.08098829,75.81927633,75.29585241,77.06147837,77.27207262,3.181196434,1114,76.61206223,76.28348216,76.10819885,3.156332833,1969.0,75.94544192,75.89160159,75.76415577,3.124302736,3476.0,75.63718151,75.74544111,-1.166208287,2.949635239,7,77.20648691,77.3947708,76.89814203,0.029955557,2.791481453,21,0.0,77.4247048,77.53381375,77.64292269,77.86114058,78.29757636,79.38866581,77.43309163,77.54038027,77.22597399,0.270033085,2.967722432,27,0.0,77.62554172
71.1026753,70.74369622,70.38471714,70.02573806,69.3077799,71.66664526,71.83783568,2.421543054,438,70.94991753,71.85571391,72.07818522,2.38170745,874.0,71.34833134,71.84462484,71.96355104,2.474058802,2352.0,71.53533005,70.29078016,-1.487379324,,1,71.49761426,71.37565954,71.38788853,-0.153229018,2.072363869,22,0.0,71.71081497,71.81741533,71.92401569,72.1372164,72.56361784,73.62962142,71.39004451,71.62003354,71.35309063,-0.384324799,2.230174385,44,0.0,71.54080019
76.35332662,76.21395295,76.07457928,75.93520562,75.65645828,76.18118686,75.7716396,3.311355596,2351,75.8718263,74.50483611,74.28002999,3.438798544,2820.0,74.22236977,72.97407551,72.77183179,3.333100991,4158.0,72.74145446,76.28936253,-0.103135117,1.608674566,3,74.76604033,75.1801987,75.07363042,-1.947641359,1.597720014,12,0.0,75.05471547,75.19905304,75.3433906,75.63206574,76.20941601,77.65279168,75.1564655,75.2873072,75.01869387,-1.75258065,2.441179982,20,0.0,75.3800723
72.63158484,72.25993776,71.88829069,71.51664362,70.77334947,73.07816106,72.74177341,2.638111523,440,72.36306412,73.24764623,73.07941366,2.505384239,923.0,72.75391521,73.80929904,73.57101382,4.720617053,,,74.30739617,1.290394455,,1,72.82372549,72.84415195,72.7658764,-0.41197623,1.989464937,21,0.0,73.04194338,73.15105233,73.26016127,73.47837916,73.91481494,75.00590439,73.00323191,72.79458421,72.82072369,-0.1293449,2.313339404,50,0.02,73.14465326
74.07157126,73.76784289,73.46411452,73.16038615,72.55292941,74.24217377,74.5628996,2.666535304,557,73.60660337,73.96663756,74.20776206,2.720157291,1154.0,73.52507895,74.58327575,74.5478237,4.589707734,,,74.21385577,0.125816525,0.931120085,3,73.9426045,73.57298412,73.86783004,-0.162511509,2.64259277,19,0.0,74.17202023,74.2867281,74.40143596,74.6308517,75.08968316,76.23676183,74.57781139,74.94237753,74.39954684,0.49936249,2.440997852,36,0.027777778,74.74447806
76.18736281,75.97569593,75.76402905,75.55236217,75.12902842,76.09718476,75.98934425,2.564669331,998,75.62236806,75.78357151,75.55959329,2.884692951,2083.0,75.45491168,75.78960583,75.68286144,4.85701935,,,75.25981448,-1.278513069,1.010646944,3,76.91727104,77.57150106,76.27273723,0.198127444,2.507502218,15,0.0,77.17546993,77.30456938,77.43366882,77.69186771,78.20826549,79.49925994,77.14511129,77.62346758,76.89534344,0.565756852,2.483938018,20,0.0,77.36871809
72.79309774,72.46050269,72.12790763,71.79531258,71.13012248,73.32194301,73.62792151,2.81665908,514,72.66032138,72.97255069,73.05651958,2.686022725,1011.0,72.5007966,73.06374394,73.07838888,2.707200175,2764.0,72.77843049,72.84784043,-0.408402191,3.25632684,3,73.42442236,73.91050754,73.58352153,0.165465384,2.595266431,20,0.0,73.64802916,73.75983256,73.87163596,74.09524275,74.54245635,75.66049034,73.0486168,73.58590202,73.29855808,-0.258051575,2.588349918,41,0.0,73.20479056
75.53456355,75.36989732,75.20523109,75.04056486,74.7112324,75.05250616,74.69692347,2.676602931,1517,74.66738403,74.28132374,74.22092501,2.86388958,2705.0,73.99291553,74.14063236,74.10655759,5.6780252,,,74.9061941,-1.439889547,2.37576609,3,76.6236778,76.45788479,76.51968278,0.569100254,3.54552709,13,0.0,76.90102789,77.03970294,77.17837799,77.45572809,78.01042829,79.39717878,76.60215917,76.45788479,76.55455917,0.623477634,3.179161564,19,0.0,76.8315749
72.00614008,71.71746495,71.42878982,71.14011468,70.56276441,72.44395341,72.78118648,2.729533332,581,71.82164855,72.83772,73.00967771,2.671758285,1623.0,72.4653866,73.02638372,73.03204099,2.862546423,3772.0,72.78215012,75.60846738,3.467376376,1.591096356,3,72.1211264,72.12207351,73.10465058,-0.19681453,3.022390725,20,0.0,72.3447332,72.45653659,72.56833999,72.79194679,73.23916039,74.35719438,72.50183894,72.81229884,72.5373343,0.158722034,3.036410243,27,0.0,72.69428903
70.88924713,70.51448128,70.13971544,69.7649496,69.01541791,71.50495956,71.69855451,2.946694019,328,70.67672312,71.77193791,71.90686096,2.877335431,825.0,71.24970494,72.15388351,72.15353892,2.787854023,2356.0,71.8448514,,,,0,71.53352798,71.80829911,71.53929491,0.009220465,3.412754363,21,0.0,71.75174587,71.86085482,71.96996376,72.18818165,72.62461743,73.71570689,71.20923164,71.47105672,71.4387996,-0.37698612,2.998365244,53,0.0,71.3465922
